Price,Date_Sold,Tenure_Type,New_Build,Address,Property_Type,Num_Bedrooms,Floorplan,Latitude,Longitude,Post_Code,Road_Name,Year_Sold
720050,17 Dec 2021,Freehold,False,"11, Whitney Road, London, Greater London E10 7HG",Terraced,3.0,True,51.57167,-0.01677,E10 7HG, Whitney Road,2021
445000,12 Aug 2015,Freehold,False,"11, Whitney Road, London, Greater London E10 7HG",Terraced,3.0,True,51.57167,-0.01677,E10 7HG, Whitney Road,2015
643756,9 Dec 2021,Freehold,False,"82, Manor Road, Leyton, London, Greater London E10 7HN",Terraced,4.0,True,51.57082,-0.01955,E10 7HN, Manor Road,2021
355000,7 Sep 2007,Freehold,False,"82, Manor Road, Leyton, London, Greater London E10 7HN",Terraced,4.0,True,51.57082,-0.01955,E10 7HN, Manor Road,2007
220000,23 Mar 2006,Freehold,False,"82, Manor Road, Leyton, London, Greater London E10 7HN",Terraced,4.0,True,51.57082,-0.01955,E10 7HN, Manor Road,2006
504000,29 Nov 2021,Leasehold,False,"118, Newport Road, London, Greater London E10 6PG",Flat,2.0,True,51.56547,-0.00145,E10 6PG, Newport Road,2021
400000,7 Apr 2017,Leasehold,False,"118, Newport Road, London, Greater London E10 6PG",Flat,2.0,True,51.56547,-0.00145,E10 6PG, Newport Road,2017
714000,18 Nov 2021,Freehold,False,"3, Buckingham Road, London, Greater London E10 5NG",Terraced,3.0,True,51.56015,-0.01063,E10 5NG, Buckingham Road,2021
587500,1 Jul 2014,Freehold,False,"3, Buckingham Road, London, Greater London E10 5NG",Terraced,3.0,True,51.56015,-0.01063,E10 5NG, Buckingham Road,2014
294950,11 Aug 2006,Freehold,False,"3, Buckingham Road, London, Greater London E10 5NG",Terraced,3.0,True,51.56015,-0.01063,E10 5NG, Buckingham Road,2006
215000,26 Sep 2003,Freehold,False,"3, Buckingham Road, London, Greater London E10 5NG",Terraced,3.0,True,51.56015,-0.01063,E10 5NG, Buckingham Road,2003
134995,10 Dec 1999,Freehold,False,"3, Buckingham Road, London, Greater London E10 5NG",Terraced,3.0,True,51.56015,-0.01063,E10 5NG, Buckingham Road,1999
540000,15 Nov 2021,Leasehold,False,"55, Francis Road, London, Greater London E10 6PN",Flat,3.0,False,51.56082,-0.00252,E10 6PN, Francis Road,2021
440000,5 Aug 2016,Leasehold,False,"55, Francis Road, London, Greater London E10 6PN",Flat,3.0,False,51.56082,-0.00252,E10 6PN, Francis Road,2016
630000,12 Nov 2021,Freehold,False,"88, Chesterfield Road, London, Greater London E10 6EN",Terraced,3.0,False,51.57469,-0.00423,E10 6EN, Chesterfield Road,2021
434500,5 Nov 2021,Leasehold,False,"6, Albert Road, Leyton, London, Greater London E10 6NX",Flat,2.0,True,51.56418,-0.00454,E10 6NX, Albert Road,2021
225000,19 Feb 2008,Leasehold,False,"6, Albert Road, Leyton, London, Greater London E10 6NX",Flat,2.0,True,51.56418,-0.00454,E10 6NX, Albert Road,2008
173000,21 Sep 2007,Leasehold,False,"6, Albert Road, Leyton, London, Greater London E10 6NX",Flat,2.0,True,51.56418,-0.00454,E10 6NX, Albert Road,2007
740000,29 Oct 2021,Freehold,False,"29, Colchester Road, Leyton, London, Greater London E10 6HB",Terraced,3.0,True,51.57274,-0.00561,E10 6HB, Colchester Road,2021
560500,11 Nov 2019,Freehold,False,"29, Colchester Road, Leyton, London, Greater London E10 6HB",Terraced,3.0,True,51.57274,-0.00561,E10 6HB, Colchester Road,2019
615000,26 Oct 2021,Freehold,False,"64, Farmer Road, London, Greater London E10 5DH",Terraced,4.0,True,51.5695,-0.0108,E10 5DH, Farmer Road,2021
63000,25 Jul 1997,Freehold,False,"64, Farmer Road, London, Greater London E10 5DH",Terraced,4.0,True,51.5695,-0.0108,E10 5DH, Farmer Road,1997
410000,22 Oct 2021,Leasehold,False,"19, Perth Road, London, Greater London E10 7PA",Terraced,2.0,True,51.5668,-0.0317,E10 7PA, Perth Road,2021
400000,22 Oct 2021,Leasehold,False,"189, Dawlish Road, London, Greater London E10 6QN",Flat,1.0,True,51.56213,-0.00579,E10 6QN, Dawlish Road,2021
351500,15 Sep 2017,Leasehold,False,"189, Dawlish Road, London, Greater London E10 6QN",Flat,1.0,True,51.56213,-0.00579,E10 6QN, Dawlish Road,2017
49995,21 Aug 1997,Leasehold,False,"189, Dawlish Road, London, Greater London E10 6QN",Flat,1.0,True,51.56213,-0.00579,E10 6QN, Dawlish Road,1997
690000,15 Oct 2021,Freehold,False,"126, St Marys Road, London, Greater London E10 5RF",Terraced,3.0,True,51.5615,-0.00552,E10 5RF, St Marys Road,2021
600000,20 Dec 2018,Freehold,False,"126, St Marys Road, London, Greater London E10 5RF",Terraced,3.0,True,51.5615,-0.00552,E10 5RF, St Marys Road,2018
215000,5 Mar 2007,Freehold,False,"126, St Marys Road, London, Greater London E10 5RF",Terraced,3.0,True,51.5615,-0.00552,E10 5RF, St Marys Road,2007
756750,15 Oct 2021,Freehold,False,"43, Nottingham Road, London, Greater London E10 6BP",Semi-Detached,3.0,True,51.57606,-0.00546,E10 6BP, Nottingham Road,2021
500000,8 Aug 2014,Freehold,False,"43, Nottingham Road, London, Greater London E10 6BP",Semi-Detached,3.0,True,51.57606,-0.00546,E10 6BP, Nottingham Road,2014
449400,12 Oct 2021,Leasehold,False,"110, Murchison Road, London, Greater London E10 6LX",Flat,2.0,True,51.56491,-0.00538,E10 6LX, Murchison Road,2021
196000,21 Feb 2013,Leasehold,False,"110, Murchison Road, London, Greater London E10 6LX",Flat,2.0,True,51.56491,-0.00538,E10 6LX, Murchison Road,2013
165000,4 Nov 2004,Leasehold,False,"110, Murchison Road, London, Greater London E10 6LX",Flat,2.0,True,51.56491,-0.00538,E10 6LX, Murchison Road,2004
91000,26 May 2000,Leasehold,False,"110, Murchison Road, London, Greater London E10 6LX",Flat,2.0,True,51.56491,-0.00538,E10 6LX, Murchison Road,2000
480000,1 Oct 2021,Leasehold,False,"83, Newport Road, London, Greater London E10 6PH",Flat,2.0,True,51.56407,-0.00368,E10 6PH, Newport Road,2021
475000,14 Sep 2020,Leasehold,False,"83, Newport Road, London, Greater London E10 6PH",Flat,2.0,True,51.56407,-0.00368,E10 6PH, Newport Road,2020
460102,25 Jul 2016,Leasehold,False,"83, Newport Road, London, Greater London E10 6PH",Flat,2.0,True,51.56407,-0.00368,E10 6PH, Newport Road,2016
175000,15 Aug 2012,Leasehold,False,"83, Newport Road, London, Greater London E10 6PH",Flat,2.0,True,51.56407,-0.00368,E10 6PH, Newport Road,2012
700000,30 Sep 2021,Freehold,False,"42, Wilmot Road, London, Greater London E10 5LU",Terraced,4.0,True,51.56263,-0.01384,E10 5LU, Wilmot Road,2021
249999,26 Nov 2010,Freehold,False,"42, Wilmot Road, London, Greater London E10 5LU",Terraced,4.0,True,51.56263,-0.01384,E10 5LU, Wilmot Road,2010
223000,4 May 2005,Freehold,False,"42, Wilmot Road, London, Greater London E10 5LU",Terraced,4.0,True,51.56263,-0.01384,E10 5LU, Wilmot Road,2005
184000,25 Feb 2004,Freehold,False,"42, Wilmot Road, London, Greater London E10 5LU",Terraced,4.0,True,51.56263,-0.01384,E10 5LU, Wilmot Road,2004
86000,31 Jul 1999,Freehold,False,"42, Wilmot Road, London, Greater London E10 5LU",Terraced,4.0,True,51.56263,-0.01384,E10 5LU, Wilmot Road,1999
850000,30 Sep 2021,Freehold,False,"17, Essex Road, Leyton, London, Greater London E10 6HP",Terraced,3.0,True,51.57365,-0.00124,E10 6HP, Essex Road,2021
600000,25 Jan 2016,Freehold,False,"17, Essex Road, Leyton, London, Greater London E10 6HP",Terraced,3.0,True,51.57365,-0.00124,E10 6HP, Essex Road,2016
360000,30 Sep 2021,Leasehold,False,"67, Kettlebaston Road, London, Greater London E10 7PE",Flat,2.0,True,51.56705,-0.03097,E10 7PE, Kettlebaston Road,2021
124995,19 Sep 2002,Leasehold,False,"67, Kettlebaston Road, London, Greater London E10 7PE",Flat,2.0,True,51.56705,-0.03097,E10 7PE, Kettlebaston Road,2002
58995,27 May 1999,Leasehold,False,"67, Kettlebaston Road, London, Greater London E10 7PE",Flat,2.0,True,51.56705,-0.03097,E10 7PE, Kettlebaston Road,1999
43000,28 Feb 1995,Leasehold,False,"67, Kettlebaston Road, London, Greater London E10 7PE",Flat,2.0,True,51.56705,-0.03097,E10 7PE, Kettlebaston Road,1995
420000,29 Sep 2021,Leasehold,False,"7, Perth Road, London, Greater London E10 7PA",Flat,2.0,True,51.5668,-0.0317,E10 7PA, Perth Road,2021
275000,19 Sep 2014,Leasehold,False,"7, Perth Road, London, Greater London E10 7PA",Flat,2.0,True,51.5668,-0.0317,E10 7PA, Perth Road,2014
646800,29 Sep 2021,Freehold,False,"27, Shortlands Road, London, Greater London E10 7AH",Terraced,3.0,True,51.57237,-0.01544,E10 7AH, Shortlands Road,2021
510000,31 May 2018,Freehold,False,"27, Shortlands Road, London, Greater London E10 7AH",Terraced,3.0,True,51.57237,-0.01544,E10 7AH, Shortlands Road,2018
485000,29 Sep 2021,Leasehold,False,"17, Huxley Road, London, Greater London E10 5QT",Flat,3.0,True,51.56083,-0.00844,E10 5QT, Huxley Road,2021
226500,25 Apr 2008,Leasehold,False,"17, Huxley Road, London, Greater London E10 5QT",Flat,3.0,True,51.56083,-0.00844,E10 5QT, Huxley Road,2008
660000,28 Sep 2021,Freehold,False,"46, Nottingham Road, London, Greater London E10 6EP",Terraced,3.0,True,51.5771,-0.00268,E10 6EP, Nottingham Road,2021
588500,22 Sep 2021,Freehold,False,"35, Sunnyside Road, London, Greater London E10 7BB",Terraced,3.0,True,51.56761,-0.02142,E10 7BB, Sunnyside Road,2021
215000,14 May 2004,Freehold,False,"35, Sunnyside Road, London, Greater London E10 7BB",Terraced,3.0,True,51.56761,-0.02142,E10 7BB, Sunnyside Road,2004
637000,20 Sep 2021,Freehold,False,"63, Chesterfield Road, London, Greater London E10 6EN",Terraced,3.0,True,51.57469,-0.00423,E10 6EN, Chesterfield Road,2021
300000,28 Oct 2013,Freehold,False,"63, Chesterfield Road, London, Greater London E10 6EN",Terraced,3.0,True,51.57469,-0.00423,E10 6EN, Chesterfield Road,2013
808000,17 Sep 2021,Freehold,False,"67, Nottingham Road, London, Greater London E10 6EP",Terraced,5.0,True,51.5771,-0.00268,E10 6EP, Nottingham Road,2021
580000,1 Sep 2021,Freehold,False,"305, Capworth Street, London, Greater London E10 7BA",Terraced,3.0,True,51.5686,-0.02109,E10 7BA, Capworth Street,2021
620000,27 Aug 2021,Freehold,False,"30, Liverpool Road, London, Greater London E10 6DN",Terraced,3.0,True,51.5782,-0.00393,E10 6DN, Liverpool Road,2021
101000,23 Jun 1999,Freehold,False,"30, Liverpool Road, London, Greater London E10 6DN",Terraced,3.0,True,51.5782,-0.00393,E10 6DN, Liverpool Road,1999
295000,27 Aug 2021,Leasehold,False,"102a, Dawlish Road, London, Greater London E10 6QW",Flat,1.0,True,51.56341,-0.00717,E10 6QW, Dawlish Road,2021
182000,30 Jan 2015,Leasehold,False,"102a, Dawlish Road, London, Greater London E10 6QW",Flat,1.0,True,51.56341,-0.00717,E10 6QW, Dawlish Road,2015
29500,12 Apr 1996,Leasehold,False,"102a, Dawlish Road, London, Greater London E10 6QW",Flat,1.0,True,51.56341,-0.00717,E10 6QW, Dawlish Road,1996
870000,23 Aug 2021,Freehold,False,"51, Essex Road, Leyton, London, Greater London E10 6HF",Terraced,4.0,True,51.57448,-0.00221,E10 6HF, Essex Road,2021
485000,24 Feb 2014,Freehold,False,"51, Essex Road, Leyton, London, Greater London E10 6HF",Terraced,4.0,True,51.57448,-0.00221,E10 6HF, Essex Road,2014
615000,20 Aug 2021,Freehold,False,"54, Leasowes Road, London, Greater London E10 7BE",Terraced,3.0,False,51.56804,-0.0201,E10 7BE, Leasowes Road,2021
472000,20 Aug 2021,Leasehold,False,"35, Francis Road, London, Greater London E10 6PN",Flat,2.0,True,51.56082,-0.00252,E10 6PN, Francis Road,2021
449500,25 Nov 2016,Leasehold,False,"35, Francis Road, London, Greater London E10 6PN",Flat,2.0,True,51.56082,-0.00252,E10 6PN, Francis Road,2016
330000,30 Mar 2016,Leasehold,False,"35, Francis Road, London, Greater London E10 6PN",Flat,2.0,True,51.56082,-0.00252,E10 6PN, Francis Road,2016
670000,20 Aug 2021,Freehold,False,"58, Murchison Road, London, Greater London E10 6NB",Terraced,3.0,True,51.56263,-0.00879,E10 6NB, Murchison Road,2021
485510,20 Aug 2021,Leasehold,False,"293, Francis Road, London, Greater London E10 6NW",Flat,3.0,False,51.56614,-0.00907,E10 6NW, Francis Road,2021
455500,14 Aug 2017,Leasehold,False,"293, Francis Road, London, Greater London E10 6NW",Flat,3.0,False,51.56614,-0.00907,E10 6NW, Francis Road,2017
357500,14 Apr 2015,Leasehold,False,"293, Francis Road, London, Greater London E10 6NW",Flat,3.0,False,51.56614,-0.00907,E10 6NW, Francis Road,2015
585000,17 Aug 2021,Freehold,False,"42, Chesterfield Road, London, Greater London E10 6EW",Terraced,3.0,True,51.57393,-0.00671,E10 6EW, Chesterfield Road,2021
635000,13 Aug 2021,Freehold,False,"32, Flempton Road, London, Greater London E10 7NH",Terraced,3.0,True,51.56914,-0.03232,E10 7NH, Flempton Road,2021
235000,22 Dec 2011,Freehold,False,"32, Flempton Road, London, Greater London E10 7NH",Terraced,3.0,True,51.56914,-0.03232,E10 7NH, Flempton Road,2011
640000,12 Aug 2021,Freehold,False,"36, Dawlish Road, London, Greater London E10 6QD",Terraced,3.0,True,51.56471,-0.00914,E10 6QD, Dawlish Road,2021
645000,19 Jul 2021,Freehold,False,"215, Dawlish Road, London, Greater London E10 6QN",Terraced,3.0,True,51.56213,-0.00579,E10 6QN, Dawlish Road,2021
